file_name,seed,td,rd
h100c101.csv,1,1644.701,0
h100c101.csv,2,1618.996,0
h100c101.csv,3,1664.792,0
h100c101.csv,4,1774.085,0
h100c101.csv,5,1557.864,0
h100c101.csv,6,1631.467,0
h100c101.csv,7,1475.517,0
h100c101.csv,8,1913.039,0
h100c101.csv,9,1770.212,0
h100c101.csv,10,1689.526,0
h100c102.csv,1,1651.589,0
h100c102.csv,2,1545.606,0
h100c102.csv,3,1659.553,0
h100c102.csv,4,1644.02,0
h100c102.csv,5,1721.381,0
h100c102.csv,6,1475.126,0
h100c102.csv,7,1555.613,0
h100c102.csv,8,1635.44,0
h100c102.csv,9,1663.693,0
h100c102.csv,10,1478.445,0
h100c103.csv,1,1276.485,0
h100c103.csv,2,1407.281,0
h100c103.csv,3,1458.733,0
h100c103.csv,4,1317.779,0
h100c103.csv,5,1437.537,0
h100c103.csv,6,1445.614,0
h100c103.csv,7,1456.199,0
h100c103.csv,8,1275.468,0
h100c103.csv,9,1276.371,0
h100c103.csv,10,1357.662,0
h100c104.csv,1,1256.72,0
h100c104.csv,2,1195.507,0
h100c104.csv,3,1096.938,0
h100c104.csv,4,1131.573,0
h100c104.csv,5,1059.857,0
h100c104.csv,6,1200.008,0
h100c104.csv,7,1156.953,0
h100c104.csv,8,1177.639,0
h100c104.csv,9,1230.861,0
h100c104.csv,10,1309.887,0
h100c105.csv,1,1299.578,0
h100c105.csv,2,1404.808,0
h100c105.csv,3,1431.285,0
h100c105.csv,4,1514.751,0
h100c105.csv,5,1371.93,0
h100c105.csv,6,1568.923,0
h100c105.csv,7,1707.211,0
h100c105.csv,8,1729.18,0
h100c105.csv,9,1655.185,0
h100c105.csv,10,1528.457,0
h100c106.csv,1,1615.284,0
h100c106.csv,2,1556.881,0
h100c106.csv,3,1393.051,0
h100c106.csv,4,1675.284,0
h100c106.csv,5,1622.414,0
h100c106.csv,6,1506.326,0
h100c106.csv,7,1586.443,0
h100c106.csv,8,1387.905,0
h100c106.csv,9,1626.348,0
h100c106.csv,10,1626.808,0
h100c107.csv,1,1433.481,0
h100c107.csv,2,1728.406,0
h100c107.csv,3,1283.91,0
h100c107.csv,4,1543.955,0
h100c107.csv,5,1592.276,0
h100c107.csv,6,1640.268,0
h100c107.csv,7,1687.558,0
h100c107.csv,8,1688.756,0
h100c107.csv,9,1566.346,0
h100c107.csv,10,1617.835,0
h100c108.csv,1,1612.237,0
h100c108.csv,2,1597.774,0
h100c108.csv,3,1568.304,0
h100c108.csv,4,1370.888,0
h100c108.csv,5,1496.384,0
h100c108.csv,6,1423.279,0
h100c108.csv,7,1574.442,0
h100c108.csv,8,1471.994,0
h100c108.csv,9,1639.717,0
h100c108.csv,10,1494.944,0
h100c109.csv,1,1271.44,0
h100c109.csv,2,1300.103,0
