seed,h100c101.csv,h100c102.csv,h100c103.csv,h100c104.csv,h100c105.csv,h100c106.csv,h100c107.csv,h100c108.csv,h100c109.csv,h100c201.csv,h100c202.csv,h100c203.csv,h100c204.csv,h100c205.csv,h100c206.csv,h100c207.csv,h100c208.csv,h100r101.csv,h100r102.csv,h100r103.csv,h100r104.csv,h100r105.csv,h100r106.csv,h100r107.csv,h100r108.csv,h100r109.csv,h100r110.csv,h100r111.csv,h100r112.csv,h100r201.csv,h100r202.csv,h100r203.csv,h100r204.csv,h100r205.csv,h100r206.csv,h100r207.csv,h100r208.csv,h100r209.csv,h100r210.csv,h100r211.csv,h100rc101.csv,h100rc102.csv,h100rc103.csv,h100rc104.csv,h100rc105.csv,h100rc106.csv,h100rc107.csv,h100rc108.csv,h100rc201.csv,h100rc202.csv,h100rc203.csv,h100rc204.csv,h100rc205.csv,h100rc206.csv,h100rc207.csv,h100rc208.csv
1,1644.701,1651.589,1276.485,1256.72,1299.578,1615.284,1433.481,1612.237,1271.44,1642.103276,1250.58891,1170.734256,997.8825891,1348.720913,1119.523737,1192.272448,909.6033409,1162.033,1394.046,1063.704,841.03,1403.827,1097.309,1013.716,897.2144655,1028.056,991.433,950.812,931.491,1477.038,1266.91,1111.979,998.094,1410.501,1229.527,1145.43,951.683,1388.817,1250.08,1018.71,1611.08044,1364.536419,1511.159661,999.9200026,1527.038847,1412.314853,1182.719992,995.6584824,1792.469643,1690.831055,1439.118615,1012.43691,1911.694682,1471.00283,1772.536331,1377.2195
2,1618.996,1545.606,1407.281,1195.507,1404.808,1556.881,1728.406,1597.774,1300.103,1144.369407,1023.485753,1179.993925,1248.612628,1060.493218,1462.391274,1037.084202,1158.718673,1225.124,1353.729,1041.318,896.139,1222.944,1288.548,1116.303,824.711,1016.801,952.397,1088.362,843.625,1434.405,1376.205,1135.183,915.724,1359.375,1100.441,1137.125,896.176,1297.177,1409.471,1090.621,1539.936605,1717.406797,1377.499696,1107.632851,1559.710381,1693.937855,1152.405798,1017.681217,2024.383983,1598.4303,1361.319748,1149.998242,2037.977451,1821.549179,1791.141677,1263.770575
3,1664.792,1659.553,1458.733,1096.938,1431.285,1393.051,1283.91,1568.304,1541.503,1285.177992,1616.076,1106.340225,1043.742275,1314.677239,1399.135925,1207.384785,1135.706358,1299.446845,1295.792,1087.179,930.898,1102.645,1128.776,962.725,892.801,928.599,1007.771,1080.015,878.0,1591.644,1387.433,1233.658,1008.159,1332.115,1094.868,1134.812,907.482,1129.227,1348.296,1016.307,1826.846821,1582.847485,1383.036343,933.5573467,1581.277764,1556.935336,1367.8099,1071.754894,1718.348203,1719.819576,1512.868403,1153.129966,1923.033932,1874.539526,1816.787779,1558.147349
4,1774.085,1644.02,1317.779,1131.573,1514.751,1675.284,1543.955,1370.888,1361.059,1107.838319,1063.972455,1262.115794,1051.988581,1330.988249,1114.70977,1381.453079,1208.154783,1326.37,1280.147,1068.038,842.31,1202.266,1242.111,1101.996,883.8044491,1043.3,928.771,1136.932,913.8,1448.324,1575.95,1293.099,907.776,1291.553,1186.718,1086.349,1004.643,1351.606,1410.359,1050.311,1655.018502,1684.56576,1293.408044,988.9634141,1379.419917,1598.345737,1330.74597,958.9499625,1886.352849,1719.662191,1354.661165,1069.05267,2040.113303,1651.920004,1726.78683,1501.386955
5,1557.864,1721.381,1437.537,1059.857,1371.93,1622.414,1592.276,1496.384,1271.305,1407.877913,1260.268461,1149.199565,985.1287449,885.6581439,1191.188685,1040.936668,1140.436121,1239.175,1263.962,953.112,914.505,1159.071,984.982,1032.395,978.61,1098.043,945.207,987.897,913.612,1495.545,1430.435,1199.105,875.714,1157.395,1312.307,1059.487,989.892,1135.808,1262.545,1016.307,1807.218961,1572.320617,1517.466105,1010.056261,1496.484769,1585.531074,1304.860263,1013.922482,1888.910547,1787.777741,1473.434805,1606.857252,1826.08692,1943.158912,1534.321997,1416.977645
6,1631.467,1475.126,1445.614,1200.008,1568.923,1506.326,1640.268,1423.279,1261.435,1540.528876,1426.937143,1064.881842,1017.934764,1183.403669,1244.513977,1019.113339,1331.516507,1311.818,1422.446,1143.617,944.551,1432.852,1122.057,1056.646,941.127,1027.096,881.249,1152.842,905.579,1409.281,1282.713,1133.96,849.495,1236.671,1163.204,1124.28,924.826,1348.629,1363.086,1035.972,1903.83148,1760.711525,1462.11186,945.0289018,1574.287882,1672.848719,1354.025864,970.1287105,2069.734208,1844.269976,1452.523077,1149.656579,2117.846136,1842.40191,1799.999499,1561.058032
7,1475.517,1555.613,1456.199,1156.953,1707.211,1586.443,1687.558,1574.442,1345.815,1267.058068,1141.807083,1105.004802,1108.478468,1081.65007,1188.669904,1245.876937,989.0191671,1245.893,1247.113,1116.921,958.662,1202.834,1093.451,1125.027,894.9357092,969.617,1032.505,1098.347,899.265,1572.229,1279.377,1364.474,834.818,1252.855,1594.952,1200.944,923.121,1347.252,1277.623,1234.372,1591.15668,1529.247811,1344.078676,1087.811777,1505.774923,1438.502552,1139.213201,1192.022502,1558.880426,1769.883898,1553.476857,1217.355982,1993.824696,1663.423068,1878.975911,1288.672979
8,1913.039,1635.44,1275.468,1177.639,1729.18,1387.905,1688.756,1471.994,1381.575,1321.038016,1291.932489,1161.42059,929.9742226,1362.032557,1190.888671,854.1742031,1166.627405,1197.079,1264.268,1057.02,933.395,1266.504,1268.937,1012.092,901.635,1124.958,1091.377,1106.622,939.662,1387.59,1309.644,1177.73,921.803,1445.168,1231.138,1190.102,896.157,1126.171,1397.248,1016.307,1712.53235,1313.627485,1351.810242,933.2536592,1465.331971,1545.504238,1439.911671,1088.722824,1961.444414,1684.810263,1599.389004,1104.207916,2071.783747,1766.441777,2010.637618,1556.546833
9,1770.212,1663.693,1276.371,1230.861,1655.185,1626.348,1566.346,1639.717,1167.548,1275.117355,1278.622401,1076.605651,895.8001613,976.2467005,1123.401717,981.5186411,1117.372888,1272.875,1362.304,990.794,915.285,1118.782,1169.342,1101.097,1024.853,1032.099,967.349,1015.865,943.249,1412.396,1307.359,1110.205,875.73,1275.795,1297.247,1066.371,923.609,1107.215,1435.882,1118.163,1537.881038,1792.95289,1328.933352,1038.982964,1384.067151,1402.820563,1464.656301,1233.380182,2046.336646,1893.950785,1411.48668,1060.199684,1879.181841,1741.212114,1581.393498,1283.394046
10,1689.526,1478.445,1357.662,1309.887,1528.457,1626.808,1617.835,1494.944,1268.786,1703.458429,1141.549894,1028.04413,1180.827528,1497.505039,988.8424772,1253.879448,994.3173474,1656.034,1155.874,1167.316,973.611,1375.366,1089.431,1189.213,865.857,1002.311,1035.0,1210.09,865.096,1293.039,1333.487,1264.004,876.466,1215.243,1201.349,1121.719,861.494,1388.092,1163.879,1336.547,1778.866565,1494.777368,1295.380219,1014.579686,1471.339373,1428.589712,1306.78242,1076.120729,2103.431649,1849.225002,1506.619414,1163.94556,2292.934115,1945.114025,1964.825224,1349.815271
